well,target,horizon_days,train_end_t,model,params,aic,rmse,mae,smape,n_train,n_test,train_start,train_end,test_end
NO 15/9-F-15 D,q_oil_eff,90,812.0,hyp,"(327.7568489738439, 0.002556668274666049, 1.9999999999999998)",5524.395597457883,34.835221004936855,28.675582828339003,0.1877317557799993,683,84,2014-01-16,2016-04-07,2016-07-06
NO 15/9-F-1 C,q_oil_eff,90,625.0,hyp,"(1187.8272248638618, 0.02103201790247492, 1.9999999999999998)",3799.595684495553,84.53838052717363,69.3190720414741,0.37151701275026017,374,56,2014-04-22,2016-01-07,2016-04-06
NO 15/9-F-12 H,q_oil_eff,90,3014.0,exp,"(5272.331067406181, 0.000939791859948746)",37775.935268015164,134.29570890192693,132.12278738279235,0.5827407341705925,2746,90,2008-02-12,2016-05-14,2016-08-12
NO 15/9-F-14 H,q_oil_eff,90,2832.0,exp,"(4537.192320865697, 0.0009298786844149191)",32498.764851974818,208.77999934429326,208.58154224253073,1.001860147668316,2633,90,2008-07-13,2016-04-14,2016-07-13
NO 15/9-F-11 H,q_oil_eff,90,1061.0,exp,"(1210.023831165528, 0.00018087179771973492)",12057.582801106486,509.9958754766454,508.7498796636727,0.6923764486523578,1032,90,2013-07-24,2016-06-19,2016-09-17
