well,target,horizon_days,n_train,n_test,train_start,train_end,test_end,dca_model,dca_params,dca_aic,dca_rmse,dca_mae,dca_smape,dca_wape,dca_mase,naive_rmse,naive_mae,naive_smape,naive_wape,naive_mase,dca_vs_naive_mae_improvement
NO 15/9-F-15 D,q_oil_eff,90,683,84,2014-01-16,2016-04-07,2016-07-06,hyp,"(327.7568489738439, 0.002556668274666049, 1.9999999999999998)",5524.395597457883,34.835221004936855,28.675582828339003,0.1877317557799993,0.17768895044035737,1.9382995624768637,105.74409143813429,101.54921207102822,0.4915307768288879,0.6292521766327935,6.864125291034077,0.7176188545116471
NO 15/9-F-1 C,q_oil_eff,90,374,56,2014-04-22,2016-01-07,2016-04-06,hyp,"(1187.8272248638618, 0.02103201790247492, 1.9999999999999998)",3799.595684495553,84.53838052717363,69.3190720414741,0.37151701275026017,0.3186671803190054,1.2345069024520543,99.05856672749607,89.85631986450142,0.4916953626354843,0.41307910278907395,1.6002558002406244,0.22855652061833653
NO 15/9-F-12 H,q_oil_eff,90,2746,90,2008-02-12,2016-05-14,2016-08-12,exp,"(5272.331067406181, 0.000939791859948746)",37775.935268015164,134.29570890192693,132.12278738279235,0.5827407341705925,0.7991786711327787,1.0976386600098125,37.846145194915366,24.25300708247274,0.15276694059308357,0.14670055298628076,0.20148710697486383,-4.447686834381361
NO 15/9-F-14 H,q_oil_eff,90,2633,90,2008-07-13,2016-04-14,2016-07-13,exp,"(4537.192320865697, 0.0009298786844149191)",32498.764851974818,208.77999934429326,208.58154224253073,1.001860147668316,2.007014246003731,1.893354569484552,7.656319975529076,6.555530762312787,0.062217501404725796,0.06307865733766102,0.05950643566432798,-30.81764372304244
NO 15/9-F-11 H,q_oil_eff,90,1032,90,2013-07-24,2016-06-19,2016-09-17,exp,"(1210.023831165528, 0.00018087179771973492)",12057.582801106486,509.9958754766454,508.7498796636727,0.6923764486523578,1.0559108443969578,9.262890764681472,34.601863261307244,28.095303717506876,0.05837614596534657,0.05831182877439407,0.5115357069133046,-17.108004268647576
